#Vi(V) #Vo(V) #Io(uA)
0.00 0.00 0.00
0.10 0.09 0.00
0.20 0.19 0.01
0.30 0.30 0.02
0.40 0.40 0.03
0.50 0.49 0.04
0.60 0.59 0.05
0.70 0.69 0.06
0.80 0.80 0.07
0.90 0.89 0.08
1.00 0.99 0.09
1.10 1.09 0.10
1.20 1.20 0.11
1.30 1.29 0.12
1.40 1.39 0.13
1.50 1.49 0.14
1.60 1.59 0.15
1.70 1.69 0.16
1.80 1.79 0.17
1.90 1.89 0.18
2.00 1.99 0.19
2.20 2.19 0.21
2.40 2.40 0.24
2.60 2.60 0.26
2.80 2.81 0.28
3.00 3.00 0.30
3.20 3.20 0.32
3.40 3.40 0.34
3.60 3.59 0.36
3.80 3.80 0.38
4.00 3.99 0.40
4.20 4.19 0.42
4.40 4.39 0.44
4.60 4.59 0.46
4.80 4.79 0.48
5.00 4.99 0.50
