#Vi(V)	#Vo(V)	#Io(A)	#Vo2(V)
0	0	0	0
0.099999999999999	0.0999959013515215	8.72053370870388E-9	0
0.199999999999999	0.199956097148093	9.34103333820825E-8	0
0.299999999999999	0.299572850700982	9.08828296366282E-7	0
0.399999999999999	0.39615439150397	8.182145739837E-6	0
0.499999999999999	0.476233295816445	5.05674557258365E-5	0
0.599999999999999	0.526107955537423	0.000157217115907919	0
0.699999999999999	0.555574423640795	0.000307288460369594	0
0.799999999999999	0.575056725155381	0.00047860271245436	0
0.899999999999999	0.589263374487374	0.000661141756429052	0
0.999999999999999	0.600330436155305	0.000850360774172621	0
1.1	0.609348684199987	0.00104393896980186	0
1.2	0.616936486908265	0.001240560666154	0
1.3	0.623473979145242	0.00143941706566916	0
1.4	0.629209934336209	0.00163997886312955	0
1.5	0.634315354162321	0.00184188222522081	0
1.6	0.638912499028506	0.00204486702336596	0
1.7	0.643091634634776	0.00224874120291751	0
1.8	0.6469212059014	0.00245335913640529	0
1.9	0.650454290858512	0.00265860789181962	0
2	0.653732847021497	0.00286439819785709	0
2.1	0.65679059395437	0.00307065831075962	0
2.2	0.65965502356303	0.00327732973712904	0
2.3	0.662348835451919	0.00348436417990613	0
2.4	0.664890983206867	0.00369172131235358	0
2.5	0.667297451174916	0.00389936712518408	0
2.6	0.669581840672229	0.0041072726794568	0
2.7	0.671755818906207	0.00431541315128956	0
2.8	0.673829467347333	0.00452376709076348	0
2.9	0.675811555330886	0.00473231583973927	0
3	0.677709775820663	0.00494104303017108	0
3.1	0.679530842724317	0.00514993437720855	0
3.2	0.681280751993507	0.00535897712344779	0
3.3	0.682964813046612	0.00556815997228061	0
3.4	0.684587765428736	0.00577747283952745	0
3.5	0.686153857250587	0.00598690668670723	0
3.6	0.687666910617727	0.0061964533816687	0
3.7	0.689130376553226	0.00640610558182533	0
3.8	0.69054738136829	0.00661585663542051	0
3.9	0.691920766028943	0.00682570049784915	0
4	0.693253119746754	0.00703563166014437	0
4.1	0.694546808780482	0.0072456450877154	0
4.2	0.695804001243299	0.00745573616758113	0
4.3	0.697026688560638	0.00766590066264186	0
4.4	0.698216704107553	0.00787613467214721	0
4.5	0.699375739455559	0.00808643459692535	0
4.6	0.700505358590952	0.00829679710938486	0
4.7	0.701607010396532	0.0085072191268242	0
4.8	0.702682039646897	0.00871769778798712	0
4.9	0.703731696724979	0.00892823043253008	0
5	0.704757146231532	0.00913881458250509	0
