#Vi(V) #Vo(V) #Vo_err(V) #Io(mA) #Io_err(mA)
0.00 0.007 0 0.0 0
0.10 0.101 0 0.0 0
0.20 0.204 0 0.0 0
0.30 0.302 0 0.0 0
0.40 0.400 0 0.0 0
0.50 0.506 0 0.0 0
0.60 0.579 0 0.05 0.05
0.70 0.635 0.005 0.20 0
0.80 0.656 0 0.3 0
0.90 0.676 0 0.5 0
1.00 0.690 0 0.7 0
1.10 0.701 0 0.9 0
1.20 0.710 0 1.1 0
1.30 0.718 0 1.3 0
1.40 0.724 0 1.5 0
1.50 0.730 0 1.7 0
1.60 0.735 0 1.9 0
1.70 0.739 0.005 2.1 0
1.80 0.744 0 2.3 0
1.90 0.747 0 2.5 0
2.00 0.751 0 2.7 0
2.20 0.757 0 3.1 0
2.40 0.762 0.005 3.5 0
2.60 0.767 0 3.9 0
2.80 0.772 0 4.4 0
3.00 0.776 0 4.8 0
3.20 0.779 0 5.2 0
3.40 0.782 0 5.6 0
3.60 0.785 0 6.1 0
3.80 0.788 0 6.5 0
4.00 0.791 0 6.9 0
4.20 0.793 0 7.3 0
4.40 0.795 0 7.8 0
4.60 0.798 0 8.2 0
4.80 0.800 0 8.6 0
5.00 0.801 0 9.0 0

