#Vi(V)	#Vo(V)	#Io(A)	#Vo2(V)
-5	-4.99999952766785	-1.00499908538551E-9	0
-4.9	-4.89999952771463	-1.00489902826769E-9	0
-4.8	-4.79999952776142	-1.00479896629054E-9	0
-4.7	-4.69999952780823	-1.00469889892609E-9	0
-4.6	-4.59999952785504	-1.00459882557605E-9	0
-4.5	-4.49999952790187	-1.00449874556057E-9	0
-4.4	-4.39999952794871	-1.00439865810498E-9	0
-4.3	-4.29999952799557	-1.00429856232404E-9	0
-4.2	-4.19999952804245	-1.00419845720302E-9	0
-4.1	-4.09999952808934	-1.00409834157512E-9	0
-4	-3.99999952813626	-1.00399821409411E-9	0
-3.9	-3.8999995281832	-1.00389807320139E-9	0
-3.8	-3.79999952823017	-1.00379791708582E-9	0
-3.7	-3.69999952827718	-1.00369774363463E-9	0
-3.6	-3.59999952832422	-1.00359755037318E-9	0
-3.5	-3.4999995283713	-1.00349733439056E-9	0
-3.4	-3.39999952841843	-1.0033970922471E-9	0
-3.3	-3.29999952846562	-1.00329681985887E-9	0
-3.2	-3.19999952851288	-1.00319651235237E-9	0
-3.1	-3.09999952856021	-1.00309616388056E-9	0
-3	-2.99999952860764	-1.00299576738819E-9	0
-2.9	-2.89999952865516	-1.00289531431019E-9	0
-2.8	-2.79999952870282	-1.0027947941809E-9	0
-2.7	-2.69999952875062	-1.00269419412321E-9	0
-2.6	-2.59999952879861	-1.00259349817471E-9	0
-2.5	-2.49999952884681	-1.00249268638952E-9	0
-2.4	-2.39999952889528	-1.00239173362868E-9	0
-2.3	-2.29999952894408	-1.00229060791166E-9	0
-2.2	-2.19999952899327	-1.00218926814181E-9	0
-2.1	-2.09999952904297	-1.00208766092477E-9	0
-2	-1.99999952909331	-1.00198571605184E-9	0
-1.9	-1.89999952914445	-1.00188333998369E-9	0
-1.8	-1.79999952919664	-1.0017804062804E-9	0
-1.7	-1.69999952925021	-1.00167674126908E-9	0
-1.6	-1.59999952926286	-1.00157210210784E-9	0
-1.5	-1.49999952932342	-1.0014661423901E-9	0
-1.4	-1.3999995293874	-1.00135835672598E-9	0
-1.3	-1.29999952942151	-1.00124798866852E-9	0
-1.2	-1.19999952946801	-1.00113387228889E-9	0
-1.1	-1.0999995295304	-1.00101414837707E-9	0
-1	-0.999999529587752	-1.00088573163102E-9	0
-0.900000000000001	-0.899999529658184	-1.00074325341655E-9	0
-0.800000000000001	-0.799999529746935	-1.00057681996176E-9	0
-0.700000000000001	-0.69999952983203	-1.00036685676728E-9	0
-0.600000000000001	-0.599999529977119	-1.00007098098439E-9	0
-0.500000000000001	-0.499999530202819	-9.99585855054997E-10	0
-0.400000000000001	-0.399999530658579	-9.98614559850429E-10	0
-0.300000000000001	-0.299999531853334	-9.96067841300476E-10	0
-0.200000000000001	-0.199999536620971	-9.85916433093027E-10	0
-0.100000000000001	-0.0999995783027234	-8.97232534306677E-10	0
-1.02695629777827E-15	-1.01513580037922E-15	-2.51499944758927E-20	0
